Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,Exports of goods and services,545439490.5,567285611.5,590488404.2,613235842.2,638215520.9,665945765.2,686861911.1,719424010.6,756545965.4,753299415.1,826320135.7,879591758,734614269,686594423.8,636817523.7,591793386.4,575358726.6,590484170,626216967.9,797520810.1,551969018.6,193086563.1,300444350.8,513159642.3,461832276.6,563173335.1,449861282.8,334329094.5,413902292.7,716280305.6,885530937.1,896575945.4,1130897920,1351411267,1576138896,1861004116,2142301008,2474186403,2829511513,2952710381,3447752131,3703074331,3679426058,3925015186
Albania,Imports of goods and services,239759057.8,249396938.4,259261671,269834081.7,280698015.6,291258865.6,304208589,315985264.1,325372086.4,346584910.6,354131489.7,354930973.1,417573393.4,357905668.1,322332518.3,309347313.4,264294054.3,263671796.7,339321056,417241721.1,418628530.7,372968581.1,1168516962,1279646163,1197700139,1237628990,1436124945,1277627595,1440936890,1613839869,2093312427,2275500609,2832150820,3191756560,3396905545,3872103594,4146002228,4890053116,5248627189,5179325661,5212583776,5532259878,5168162473,5406938609
Albania,Gross Domestic Product (GDP),3161267169,3287743679,3419710728,3557111632,3698351883,3848253720,4003335053,4156626927,4335431778,4507119255,4652757729,4920085722,5065161966,5121128879,5057032693,5147080017,5435043855,5392208843,5315637338,5838512609,5279437649,3801082064,3527424546,3866063426,4186955265,4743814207,5175583886,4614661571,5030386508,5709547508,6087788776,6571167982,6849217467,7242353751,7653228818,8094011548,8533598221,9037534184,9718626912,10044616727,10416960298,10682117301,10855555754,10996683701
Albania,"Agriculture, hunting, forestry, fishing (ISIC A-B)",561452984.3,584015234.2,607480258.2,631516941.6,657289162.9,683685253.8,709484133.7,741085908.2,769409165.7,792845447.3,844433868,861061429.8,867298829.5,943271135.6,904148525.2,961951772.4,998558048.2,967381042.3,904811760.8,1019053458,1056098621,802928573.1,951457083.7,1050476091,1137625311,1287871817,1326604804,1099620994,1168238913,1231279229,1313637897,1349027927,1376694595,1417216137,1506548126,1517004164,1564421048,1607124435,1720743380,1753513336,1887652555,1977749759,2084726707,2099892339
Albania,"Mining, Manufacturing, Utilities (ISIC C-E)",1538939647,1600820993,1664877906,1731174287,1801798612,1872842596,1946326809,2031423042,2103224774,2184534373,2309384338,2333799379,2448333249,2444268614,2455366730,2462600394,2639783577,2735215604,2731395476,2822935651,2787378141,1730742473,844416858.4,760153507.7,744995021.3,789578804.7,897471560.7,701763918.3,765649636.7,942350013.3,926569990.7,969699303.3,851283932.7,1134914394,1267610035,1346856518,1454266812,1098486171,1358235605,1435716912,1706407243,1804293130,1820486154,1973443357
Albania,Manufacturing (ISIC D),248751525.9,258753891.6,269107984.8,279824009.3,291239468.4,302723194.4,314600863.1,328355093.6,339962822.2,353103645.7,373282269.8,377238954.3,395736918.6,395078427.6,396921807.3,397996394.3,426675522.8,442325560.4,441124391.9,456421625,451428127.6,278417472.1,137045832.8,123677611.3,117411580.5,131534300.8,147108230.3,99860620.87,148191686.8,182854094.4,189514137.1,204886558.6,211334713.5,264902526.3,313289698.9,379742310,451729818.2,521209612,526462623.5,541425116.7,596080575.8,670250636.8,636098877.4,656855951.8
Albania,Construction (ISIC F),179057828.1,186258843.5,193714266,201420010.5,209646489.4,217919329.7,226425495.9,236395957.6,244748319.7,253987627.2,268978761.9,271568949.7,283907580.1,286208923.5,284915245.5,282582889.1,318128099.3,308759598,302929119.6,390190254.7,252798897.8,181770123.1,194478146.7,252798897.8,290696039.6,352420725.5,417549346.4,346965038,300815221,359196518.5,524400919.7,696133649.1,845613793.1,1040568567,1113827132,1183801150,1308589481,1467661192,1627233311,1625556405,1506444250,1557141530,1335015369,1365393618
Albania,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",521234907.7,541753660,563595995.8,587126346,608283403.5,634550259,663768647.6,676389554.6,720330326.2,759614371.2,714154501.5,868009914.3,889935727.1,830288364.7,830310097,815654775.4,851224739.7,810847545,846768874.8,964890765.2,614052640.2,541959558.2,589679706.6,687202317.9,759956004.2,856635610.2,1055923018,1052188081,1075420419,1154220093,1041673865,1074683333,1091658323,1034708309,1057623093,1118244249,1141017085,1207889363,1296570409,1320735027,1347629878,1359534833,1413800699,1409617168
Albania,"Transport, storage and communication (ISIC I)",136116868.9,141474543.6,147178340.9,153325532.4,158846032.3,165706940.8,173348564.2,176615668.9,188113105.5,198418117.5,186377627.7,226758845.6,232612275.3,216131675,217566255,213541867.1,218848324.4,216662278.3,221114048.8,234530862.9,182944677,131720167.5,112095193,126730767.2,149349381.8,177622650.1,175959516.6,151709168.8,185030687.4,282894934.2,334827857.6,386944330.4,428392077.7,457164112,486317779.1,556534525.7,592825747.7,658135334.4,697983197.5,767910676.4,732165885,784173185.1,761747291.8,705050448.9
Albania,Other Activities (ISIC J-P),608861343.1,632829581.1,658343931.6,685829936,710543897.2,741226647.2,775356440.8,790100022.5,841427789,887313021.7,834217006.1,1013934158,1039532702,969895510.9,969884475.4,952728662.5,994465250.7,947043339.1,988956586.1,1127897226,716617282.9,632884925.9,691062354.5,798126308.2,889149974.7,1014682537,1193706451,1258616997,1321903479,1440157073,1503578279,1609866623,1636812635,1697331798,1755312326,1831133733,1913501016,2112292027,2240262176,2370604227,2496207726,2548854674,2674130132,2698933471
Albania,Total Value Added,3354578089,3488293134,3628412881,3775593564,3922275992,4083456633,4253932220,4397397503,4607855373,4809232529,4857045137,5301750003,5468406026,5390235767,5357548866,5383736762,5686309709,5620978303,5636159788,6207566793,5201699794,3811246620,3378298584,3710208314,4027628824,4551444374,5154272087,4740212835,4947437098,5515027933,5740536352,6174270790,6334510456,6816208693,7200703088,7553574339,7955166887,8221865584,8972565057,9303459559,9689038398,10028417039,10128920237,10267180160
Algeria,Final consumption expenditure,10574621920,11189475401,12099813935,12560005506,15262946642,16170433159,17758857334,19281925482,20331715827,23323893409,24888344761,27014676244,28217664416,29370072882,30978807213,32772327823,33081715902,32285667889,30943703113,32487804658,32105251908,31706434913,33335844213,33092317939,33498944318,34450025056,35235821049,35320451652,36196554358,37241191974,38035424831,39603481709,41972341787,43673161663,45579385754,46657770810,48598103653,50603784191,54898302397,58680334909,62005605425,66513372491,69338483827,71823041587
Algeria,Household consumption expenditure (including Non-profit institutions serving households),8797681694,9291682601,9979376519,10540360600,12721221103,13475898195,14763649712,16099964031,16745793465,18362629904,20268184555,22073303689,22976964889,23802210625,25087209571,26618886091,26668686567,25621645464,23736962792,25431486930,24764946469,23823878503,25110367943,24608160584,24657376905,25298468704,25804438079,25546393698,26159507146,26918132854,27564168042,28859683940,30042930982,31364819945,33340803602,34841139764,35956056236,37861727217,40436324667,42902940472,45305505138,48023835447,50425027219,52946278580
Algeria,General government final consumption expenditure,2027292676,2157830999,2382672808,2342257028,2909471592,3083677539,3412578368,3654608497,4020208711,5224000178,5087721652,5469300934,5770112447,6087468485,6434454220,6749742545,6958984665,7084246530,7381784898,7381784898,7559967165,7923523746,8285819166,8455506150,8742237201,9033025802,9290402420,9543837648,9795407821,10075462351,10238369679,10545520770,11568436284,11961763118,12045495460,11816631046,12549262171,12762599628,14306874183,15522958488,16423290081,18032772509,18537690139,18685991660
Algeria,Gross capital formation,11808802650,10851070463,11935561321,14160880225,20110615381,22224140178,21400208812,27100827967,31831391175,29547524570,30213652573,31584131971,31835801921,34080257184,34996404354,36793013329,30580331734,25539220729,27196604643,30028278926,29844260956,26523129406,23823727060,21623217245,22181337052,22540888464,20239370201,19180118770,22720661241,22020054349,23438333111,24704003099,26779139359,27930642352,30220955024,32668852381,34694321229,38198447673,42935055185,46713340041,49983273844,51432788785,55135949578,59877641242
Algeria,Gross fixed capital formation (including Acquisitions less disposals of valuables),6998632720,6443481731,7084757922,7886216020,9728856504,11923129187,13085545140,15878854264,18552026959,17086572630,17117752428,18534084613,19298779771,20444175582,21673983338,23042018740,20105827780,15989163379,16180898904,17179652750,16194547606,13813949108,14104042039,13652712694,13720976258,14077721640,14570441898,14687005433,15171676612,15581311881,16562934529,17457332994,18923748965,19737470171,21355942725,23085774085,24517092079,26993318379,30340489858,33010452965,35321184673,36345499028,38962374958,42313139205
Algeria,Changes in inventories,7403171544,6766287515,7450450568,10359574776,19015961134,17585471077,12238573944,17524912290,20872329891,19767948551,21249549444,20341012582,18697598611,20645477466,19209993781,19448945698,13371643063,13514911412,16867214870,20630718866,23078833453,22203188941,14980581524,11105490026,12223551183,12028604685,5152540371,2310383526,9251950459,6399027474,6875398582,7246670105,7855390394,8193172181,8865012300,9583078296,10177229150,11205129295,12594565327,13702887076,14662089171,15087289757,16173574620,17564502037
Algeria,Exports of goods and services,17372624277,12629294413,18340504944,19028105156,15971221999,17957799053,18187263789,19114650679,20208776650,21661916578,18857019672,19026733002,20967459635,22540018189,23869879384,24562105932,24488420167,25835284020,25938624687,28013713612,28938826815,28678377374,29796834091,29230694244,28236850639,30015772230,32146892058,34172146258,35778237132,37924931360,40352126967,39302971666,41464635107,44574482740,46000866188,48714917293,47691904030,47214984990,46081825350,41427560990,41427560990,40309016843,38777274203,36528192299
Algeria,Imports of goods and services,6880074972,6031709526,6612499135,8354867963,12240969374,14609765745,13983963378,17245512777,18566512179,16998514678,17568695455,19940469154,19601482226,20777571058,21193121696,22040846768,17853086376,14103938288,14583471227,17033494665,16050796806,13177704177,13783878570,12860358705,13644840587,13917737398,12066678324,12356278604,13159436713,13396306574,14414425874,16028841572,19747532816,20754656990,23348989114,24843324417,24470674551,27382684822,31599618285,35644369425,37248366049,35534941211,40474298039,44440779247
Algeria,Gross Domestic Product (GDP),28723525770,25988264239,31771013798,33143892068,34392798052,36396688695,38649179845,42287012088,46589309543,50073177294,50469059327,51983133601,55310054495,58296795769,61561414773,65008854843,64878837406,64424686448,63200618992,66234247456,67063338318,66258578258,67318715510,65903346749,65310216628,67823156357,70400436298,71174841098,74802988346,77196683974,80130157964,82534062703,87155970215,93431200070,97448741673,1.03198E+11,1.04953E+11,1.08521E+11,1.11125E+11,1.12903E+11,1.16968E+11,1.20243E+11,1.24211E+11,1.27689E+11
