VariableCode,RegionCode,YearCode,AggValue
rkna,ALB,1984,53751.48046875000000000
emp,ALB,1985,1.05397391319275000
hc,ALB,1985,2.62450623512268000
rgdpna,ALB,1985,11042.41503906250000000
rkna,ALB,1985,56010.12500000000000000
emp,ALB,1986,1.09010779857635000
hc,ALB,1986,2.64826345443726000
rgdpna,ALB,1986,11660.20507812500000000
rkna,ALB,1986,58482.48437500000000000
emp,ALB,1987,1.12814164161682000
hc,ALB,1987,2.67223572731018000
rgdpna,ALB,1987,11568.30761718750000000
rkna,ALB,1987,61068.25390625000000000
emp,ALB,1988,1.16350483894348000
hc,ALB,1988,2.69642496109009000
rgdpna,ALB,1988,11403.96679687500000000
rkna,ALB,1988,63407.09765625000000000
emp,ALB,1989,1.19569218158722000
hc,ALB,1989,2.72083306312561000
rgdpna,ALB,1989,12526.18457031250000000
rkna,ALB,1989,66093.03125000000000000
emp,ALB,1990,1.20911097526550000
hc,ALB,1990,2.74546217918396000
rgdpna,ALB,1990,11277.18847656250000000
rkna,ALB,1990,68706.61718750000000000
emp,ALB,1991,1.17862343788147000
hc,ALB,1991,2.76085805892944000
rgdpna,ALB,1991,8119.33447265625000000
rkna,ALB,1991,66863.40625000000000000
emp,ALB,1992,1.16096603870392000
hc,ALB,1992,2.77634024620056000
rgdpna,ALB,1992,7534.78564453125000000
rkna,ALB,1992,65005.28515625000000000
emp,ALB,1993,1.16365969181061000
hc,ALB,1993,2.79190897941589000
rgdpna,ALB,1993,8258.13867187500000000
rkna,ALB,1993,64102.01562500000000000
emp,ALB,1994,1.16100001335144000
hc,ALB,1994,2.80756521224976000
rgdpna,ALB,1994,8943.58203125000000000
rkna,ALB,1994,64051.91406250000000000
emp,ALB,1995,1.13800001144409000
hc,ALB,1995,2.82330942153931000
rgdpna,ALB,1995,10133.06542968750000000
rkna,ALB,1995,64248.55468750000000000
emp,ALB,1996,1.11600005626678000
hc,ALB,1996,2.84125995635986000
rgdpna,ALB,1996,11055.35058593750000000
rkna,ALB,1996,64364.25390625000000000
emp,ALB,1997,1.10699999332428000
hc,ALB,1997,2.85932445526123000
rgdpna,ALB,1997,9857.18750000000000000
rkna,ALB,1997,63841.83984375000000000
emp,ALB,1998,1.08500003814697000
hc,ALB,1998,2.87750411033630000
rgdpna,ALB,1998,10745.20117187500000000
rkna,ALB,1998,63509.39453125000000000
emp,ALB,1999,1.06500005722046000
hc,ALB,1999,2.89579916000366000
rgdpna,ALB,1999,12195.92871093750000000
rkna,ALB,1999,63659.80078125000000000
emp,ALB,2000,1.06799995899200000
hc,ALB,2000,2.91421055793762000
rgdpna,ALB,2000,13003.87402343750000000
rkna,ALB,2000,64572.89843750000000000
emp,ALB,2001,0.92000001668930100
hc,ALB,2001,2.92984461784363000
rgdpna,ALB,2001,14036.40039062500000000
rgdpna,AUT,2007,297351.53125000000000000
rkna,AUT,2007,960039.43750000000000000
rtfpna,AUT,2007,1.02899158000946000
emp,AUT,2008,4.13362789154053000
hc,AUT,2008,2.82025575637817000
rgdpna,AUT,2008,301622.28125000000000000
rkna,AUT,2008,977982.18750000000000000
rtfpna,AUT,2008,1.01992464065552000
emp,AUT,2009,4.11515283584595000
hc,AUT,2009,2.82989883422852000
rgdpna,AUT,2009,290212.93750000000000000
rkna,AUT,2009,990606.62500000000000000
rtfpna,AUT,2009,0.97704124450683600
emp,AUT,2010,4.15811443328857000
hc,AUT,2010,2.83957505226135000
rgdpna,AUT,2010,296165.00000000000000000
rkna,AUT,2010,1002648.31250000000000000
rtfpna,AUT,2010,0.98407906293869000
emp,AUT,2011,4.23769664764404000
hc,AUT,2011,2.83957505226135000
rgdpna,AUT,2011,304150.78125000000000000
rkna,AUT,2011,1018472.50000000000000000
rtfpna,AUT,2011,0.99292159080505400
emp,BEL,1950,3.36192083358765000
hc,BEL,1950,2.20497632026672000
rgdpna,BEL,1950,65790.76562500000000000
rkna,BEL,1950,179743.57812500000000000
